5/85/300|huetobi||TC
5/101/260|Théophile||
5/108/204|XeniVari||TA
6/55/297|XeniVari||
6/75/189|Nighthawk||
7/53/220|XeniVari||
7/56/198|XeniVari||
10/71/154|Théophile||
18/51/152|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Video%20Recorder/18%2C%2051%2C%20152/Kaizen%20-%20A%20Factory%20Story%20-%20Video%20Recorder%20(18%2C%20%C2%A551M%2C%20152).gif|
20/64/133|Théophile||
27/74/108|Théophile||
31/40/189|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Video%20Recorder/31%2C%2040%2C%20189/Kaizen%20-%20A%20Factory%20Story%20-%20Video%20Recorder%20(31%2C%20%C2%A540M%2C%20189).gif|
41/57/80|Théophile|https://i.imgur.com/HrQjr2U.gif|AT,AC
49/38/160|Théophile||
78/28/207|Théophile||
102/23/216|Théophile||CT,CA
